sno,id,coursetitle,site,ispaid,price,subscribers,reviews,lectures,level,duration,subject
57,834836,How to Consistently Win Trading Stocks in 30 Days or Less,winningstocktrades,TRUE,145,1433,169,15,Intermediate Level,1,Business Finance
58,1171994,A Beginners Guide to Quantopian Futures API,quantopian-futures,TRUE,20,936,6,11,Intermediate Level,2,Business Finance
59,1239068,How to Buy Cheap Options - Options Trading Pricing Model,options-black-scholes-model,TRUE,200,658,2,19,All Levels,1,Business Finance
60,985922,Excel Crash Course- Master Excel for Financial Analysis,excel-crash-course-master-excel-for-financial-analysis,TRUE,105,8121,689,40,All Levels,4,Business Finance
61,765562,"Comprehensive Guide to Financial Markets, Investing andTrading",financial-markets-a-to-z-for-beginners,TRUE,60,4187,600,79,Beginner Level,9,Business Finance
62,165964,Stock Trading Ninja- Complete System For Trading Success,stock-trading-ninja-learn-how-to-make-money-trading-stocks,TRUE,155,9445,497,38,All Levels,5,Business Finance
63,855172,Hedge and Mutual Fund Careers- The Complete Guide,hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks,TRUE,200,3255,340,102,All Levels,9,Business Finance
64,258232,Algorithmic Trading In Forex- Create Your First Forex Robot,learn-mql4,TRUE,185,7941,713,40,All Levels,7,Business Finance
65,994754,The Power Modeling Bootcamp- Advanced Excel in 10 Days,the-power-modeling-bootcamp-advanced-excel-in-10-days,TRUE,150,1680,158,76,All Levels,6,Business Finance
66,43319,Options Trading Basics 3-Course Bundle,learn-options-trading-courses,TRUE,180,10100,985,45,Beginner Level,11,Business Finance
67,408440,How to Win 97percent of Your Options Trades,how-to-win-97-percent-of-your-trades,TRUE,125,5050,461,26,All Levels,2,Business Finance
68,918688,How I Make Consistent Returns Trading Options,how-i-make-15-per-month-trading-options,TRUE,200,2310,162,26,All Levels,4,Business Finance
69,308694,"Forex Strategies- Kelly Criterion, Larry Williams and more",money-management,TRUE,185,5528,506,32,All Levels,3,Business Finance
70,199450,"Elite Trend Trader- Learn To Trade Stocks, Options and Forex",elite-trend-trader-how-to-make-a-fortune-trading-the-trend,TRUE,125,6451,237,28,All Levels,5,Business Finance
71,401784,Options Trading Introduction- Day Trade Stock Options,how-to-trade-stock-options-level-1-start-day-trading,TRUE,95,12394,218,30,Beginner Level,3,Business Finance
72,1122792,The Almost Perfect Options Trading Strategy System - Unique,the-almost-perfect-options-trading-strategy-system-unique,TRUE,200,1793,18,15,All Levels,1,Business Finance
73,709500,Forex Trading -  Learn to Trade Forex Like the Banks,forex-trading-learn-the-same-strategies-used-by-banks,TRUE,20,3223,240,23,All Levels,1,Business Finance
74,285638,Learn to Trade for Profit-Trading with Japanese Candlesticks,introduction-to-japanese-candlesticks,TRUE,60,16385,273,45,Beginner Level,3,Business Finance
75,1135126,The Most Powerful Options Spread Trading Front Ratio Spread,the-most-powerful-options-spread-trading-front-ratio-spread,TRUE,200,1487,16,18,All Levels,2,Business Finance
76,834558,What Finance Job is for You? Explanation of 14 Finance Roles,what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles,TRUE,200,2951,232,60,All Levels,4,Business Finance
77,551968,The Blueprint for Successful Stock Trading,stock-market-millionaire-blueprint,TRUE,120,2697,331,15,All Levels,1,Business Finance
78,1005658,Trading for Beginners - Intermediate Level,trading-for-beginners-tier-2,TRUE,150,3979,40,39,Beginner Level,5,Business Finance
79,746432,Start Trading Stocks Using Technical Analysis,professional-stock-trader,TRUE,25,3190,244,45,All Levels,4,Business Finance
80,1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,hedge-fund-startup,TRUE,200,1406,71,54,Expert Level,2,Business Finance
81,284118,VPS for Forex Trading - Protect Your Forex Robots,forex-vps,TRUE,160,4252,225,24,All Levels,2,Business Finance
82,302562,Introduction to Accounting- The Language of Business,learnaccountingforfree,TRUE,20,11958,370,134,Beginner Level,12,Business Finance
83,596598,Basic Excel for Basic Bookkeeping and Accounting,basic-excel-for-basic-bookkeeping,TRUE,95,7743,340,33,Beginner Level,2,Business Finance
84,860890,Using The Greeks To Understand Options,options-greeks,TRUE,50,2134,55,5,All Levels,1,Business Finance
85,951050,Trading Options For Consistent Returns- Calendar Spreads,trading-options-for-consistent-returns-calendar-spreads,TRUE,200,1214,69,20,All Levels,2,Business Finance
86,796450,How to Create Your Personal Budget,personal-budget,TRUE,20,3870,53,10,All Levels,1,Business Finance
87,502772,The Complete Value Investing Course- A Proven Approach,value-investing-essential-guide-to-picking-stocks,TRUE,200,2146,212,49,All Levels,5,Business Finance
88,1102462,FOREX Trading with Price Action,forex-trading-system,TRUE,195,484,57,19,Beginner Level,1,Business Finance
89,1062092,Emini ES Futures - Advanced Non Directional Options Trading,emini-es-futures-advanced-non-directional-options-trading,TRUE,200,1057,15,14,All Levels,2,Business Finance
90,891484,Forex Trading - Advanced Fundamental Analysis,forex-trading-advanced-fundamental-analysis,TRUE,20,1754,100,49,Intermediate Level,3,Business Finance
91,1217064,How To Invest With Tiny Capital In Stocks ?,howtoinvest5k,TRUE,20,1239,5,6,Beginner Level,1,Business Finance
92,382204,Learn How To Successfully Trade Stocks- In 5 Simple Steps,learn-how-to-successfully-trade-stocks-in-5-simple-steps,TRUE,95,2493,276,108,All Levels,10,Business Finance
